#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Wed Jun 05 03:04:58 EDT 2019,0,0,PromptTestCase, , ,PromptTestCase- , ,
1,Thu Jun 06 07:39:14 EDT 2019,0,0,PromptTestCase, , ,PromptTestCase , ,
2,Mon Jun 10 09:12:56 EDT 2019,100,100,PromptTestCase,PromptTestCase+ , , , ,
3,Tue Jun 11 01:20:18 EDT 2019,100,0,PromptTestCase,PromptTestCase , , , ,
4,Tue Jun 11 07:40:06 EDT 2019,100,0,PromptTestCase,PromptTestCase , , , ,
5,Tue Jun 11 07:56:28 EDT 2019,50,0,ProperHeaderTestCase,PromptTestCase , ,ProperHeaderTestCase- , ,
6,Tue Jun 11 08:04:56 EDT 2019,50,0,ProperHeaderTestCase,PromptTestCase , ,ProperHeaderTestCase , ,
7,Tue Jun 11 08:06:48 EDT 2019,50,0,ProperHeaderTestCase,PromptTestCase , ,ProperHeaderTestCase , ,
8,Tue Jun 11 08:07:32 EDT 2019,50,0,ProperHeaderTestCase,PromptTestCase , ,ProperHeaderTestCase , ,
9,Tue Jun 11 08:14:38 EDT 2019,50,0,ProperHeaderTestCase,PromptTestCase , ,ProperHeaderTestCase , ,
10,Tue Jun 11 08:25:33 EDT 2019,100,50,PledgeTestCase,PledgeTestCase+ PromptTestCase , , , ,
11,Tue Jun 11 08:42:59 EDT 2019,100,34,IncrementalInputPromptTestCase,IncrementalInputPromptTestCase+ PledgeTestCase PromptTestCase , , , ,
12,Tue Jun 11 08:46:14 EDT 2019,66,-34,IncrementalInputPromptTestCase,PledgeTestCase PromptTestCase , ,IncrementalInputPromptTestCase- , ,
13,Tue Jun 11 08:48:10 EDT 2019,66,0,IncrementalInputPromptTestCase,PledgeTestCase PromptTestCase , ,IncrementalInputPromptTestCase , ,
14,Tue Jun 11 08:51:34 EDT 2019,66,0,IncrementalInputPromptTestCase,PledgeTestCase PromptTestCase , ,IncrementalInputPromptTestCase , ,
15,Tue Jun 11 09:12:09 EDT 2019,66,0,IncrementalInputPromptTestCase,PledgeTestCase PromptTestCase , ,IncrementalInputPromptTestCase , ,
16,Tue Jun 11 09:18:34 EDT 2019,66,0,IncrementalInputPromptTestCase,PledgeTestCase PromptTestCase , ,IncrementalInputPromptTestCase , ,
17,Tue Jun 11 09:19:31 EDT 2019,100,34,IncrementalInputPromptTestCase,IncrementalInputPromptTestCase+ PledgeTestCase PromptTestCase , , , ,
18,Tue Jun 11 11:35:53 EDT 2019,100,0,IncrementalInputPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
19,Tue Jun 11 11:52:35 EDT 2019,100,0,IncrementalInputPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
20,Wed Jun 12 03:18:18 EDT 2019,100,0,PromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
21,Wed Jun 12 03:18:44 EDT 2019,100,0,IncrementalInputPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
22,Wed Jun 12 08:29:23 EDT 2019,100,0,PromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
23,Wed Jun 12 08:29:27 EDT 2019,100,0,IncrementalInputPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
24,Wed Jun 12 09:31:14 EDT 2019,100,0,PromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
25,Wed Jun 12 09:31:17 EDT 2019,100,0,IncrementalInputPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
26,Fri Jun 14 00:57:38 EDT 2019,100,0,PromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
27,Fri Jun 14 00:57:42 EDT 2019,100,0,IncrementalInputPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
28,Fri Jun 14 00:57:44 EDT 2019,100,0,PledgeTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
29,Fri Jun 14 07:31:42 EDT 2019,66,-34,PromptTestCase,IncrementalInputPromptTestCase PledgeTestCase , ,PromptTestCase- , ,
30,Fri Jun 14 07:32:37 EDT 2019,33,-33,IncrementalInputPromptTestCase,PledgeTestCase , ,IncrementalInputPromptTestCase- PromptTestCase , ,
31,Fri Jun 14 07:32:41 EDT 2019,0,-33,PledgeTestCase, , ,IncrementalInputPromptTestCase PledgeTestCase- PromptTestCase , ,
32,Fri Jun 14 07:35:48 EDT 2019,0,0,PromptTestCase, , ,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , ,
33,Fri Jun 14 08:12:21 EDT 2019,33,33,PromptTestCase,PromptTestCase+ , ,IncrementalInputPromptTestCase PledgeTestCase , ,
34,Fri Jun 14 08:12:25 EDT 2019,66,33,IncrementalInputPromptTestCase,IncrementalInputPromptTestCase+ PromptTestCase , ,PledgeTestCase , ,
35,Fri Jun 14 08:12:27 EDT 2019,100,34,PledgeTestCase,IncrementalInputPromptTestCase PledgeTestCase+ PromptTestCase , , , ,
36,Sat Jun 15 03:42:00 EDT 2019,75,0,IncrementalInputPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , ,IncrementalCustomCommandPromptTestCase ,
37,Sat Jun 15 03:46:21 EDT 2019,75,0,IncrementalCustomCommandPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , ,IncrementalCustomCommandPromptTestCase+ , ,
38,Sat Jun 15 03:56:07 EDT 2019,75,0,IncrementalCustomCommandPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , ,IncrementalCustomCommandPromptTestCase , ,
39,Sat Jun 15 03:57:37 EDT 2019,75,0,IncrementalCustomCommandPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , ,IncrementalCustomCommandPromptTestCase , ,
40,Sat Jun 15 04:18:07 EDT 2019,75,0,IncrementalCustomCommandPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , ,IncrementalCustomCommandPromptTestCase , ,
41,Sat Jun 15 04:20:51 EDT 2019,75,0,IncrementalCustomCommandPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , ,IncrementalCustomCommandPromptTestCase , ,
42,Sat Jun 15 04:21:52 EDT 2019,75,0,IncrementalCustomCommandPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , ,IncrementalCustomCommandPromptTestCase , ,
43,Sat Jun 15 06:54:56 EDT 2019,50,-25,IncrementalInputPromptTestCase,PledgeTestCase PromptTestCase , ,IncrementalCustomCommandPromptTestCase IncrementalInputPromptTestCase- , ,
44,Sat Jun 15 06:55:55 EDT 2019,75,25,IncrementalInputPromptTestCase,IncrementalInputPromptTestCase+ PledgeTestCase PromptTestCase , ,IncrementalCustomCommandPromptTestCase , ,
45,Sat Jun 15 06:57:10 EDT 2019,75,0,IncrementalCustomCommandPromptTestCase,IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , ,IncrementalCustomCommandPromptTestCase , ,
46,Sat Jun 15 07:00:03 EDT 2019,100,25,IncrementalCustomCommandPromptTestCase,IncrementalCustomCommandPromptTestCase+ IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
47,Sat Jun 15 07:00:34 EDT 2019,100,0,IncrementalCustomCommandPromptTestCase,IncrementalCustomCommandPromptTestCase IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
48,Sat Jun 15 07:09:49 EDT 2019,100,0,PromptTestCase,IncrementalCustomCommandPromptTestCase IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
49,Sat Jun 15 07:09:54 EDT 2019,100,0,PledgeTestCase,IncrementalCustomCommandPromptTestCase IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
50,Sat Jun 15 07:09:58 EDT 2019,100,0,IncrementalInputPromptTestCase,IncrementalCustomCommandPromptTestCase IncrementalInputPromptTestCase PledgeTestCase PromptTestCase , , , ,
